,experiment,propagationTime,messageOverhead,messageReceived,graft,prune,iwant,ihave,messageBandwidth,totalBandwidth,gossipReceived,gossipBandwidth,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval
0,390,292.0,345.0,56.0,0.0,0.0,0.0,0.0,11.2,159.4,396.0,79.2,unl,8,6,12,4,8,2,0.25,1.0
1,390,373.3333333333333,466.0,73.0,0.0,0.0,0.0,64.0,14.6,220.8,565.0,113.0,unl,8,6,12,4,8,2,0.25,1.0
2,390,649.0833333333334,781.0,124.0,0.0,0.0,0.0,64.0,24.8,366.2,926.0,185.2,unl,8,6,12,4,8,2,0.25,1.0
3,390,337.6666666666667,734.0,111.0,0.0,0.0,0.0,32.0,22.2,340.2,856.0,171.2,unl,8,6,12,4,8,2,0.25,1.0
4,390,234.0,554.0,91.0,0.0,0.0,0.0,64.0,18.2,262.2,666.0,133.2,unl,8,6,12,4,8,2,0.25,1.0
5,390,381.5,750.0,124.0,0.0,0.0,0.0,64.0,24.8,353.6,894.0,178.8,unl,8,6,12,4,8,2,0.25,1.0
6,390,328.1666666666667,671.0,105.0,0.0,0.0,0.0,32.0,21.0,312.6,787.0,157.4,unl,8,6,12,4,8,2,0.25,1.0
7,390,349.72222222222223,653.0,113.0,0.0,0.0,0.0,64.0,22.6,309.2,780.0,156.0,unl,8,6,12,4,8,2,0.25,1.0
8,390,581.0833333333334,792.0,127.0,0.0,0.0,0.0,64.0,25.4,371.6,939.0,187.8,unl,8,6,12,4,8,2,0.25,1.0
9,390,473.1666666666667,598.0,91.0,0.0,0.0,0.0,32.0,18.2,277.8,700.0,140.0,unl,8,6,12,4,8,2,0.25,1.0
10,390,706.1666666666666,820.0,129.0,0.0,0.0,0.0,64.0,25.8,384.0,971.0,194.2,unl,8,6,12,4,8,2,0.25,1.0
11,390,376.9166666666667,799.0,125.0,0.0,0.0,0.0,64.0,25.0,373.6,944.0,188.8,unl,8,6,12,4,8,2,0.25,1.0
12,390,1364.1666666666667,557.0,87.0,0.0,0.0,0.0,32.0,17.4,259.6,654.0,130.8,unl,8,6,12,4,8,2,0.25,1.0
13,390,433.4166666666667,820.0,131.0,0.0,0.0,0.0,64.0,26.2,384.4,971.0,194.2,unl,8,6,12,4,8,2,0.25,1.0
14,390,338.6666666666667,791.0,124.0,0.0,0.0,0.0,64.0,24.8,370.4,937.0,187.4,unl,8,6,12,4,8,2,0.25,1.0
15,390,381.6666666666667,616.0,103.0,0.0,0.0,0.0,32.0,20.6,288.4,723.0,144.6,unl,8,6,12,4,8,2,0.25,1.0
16,390,379.5,845.0,134.0,0.0,0.0,0.0,64.0,26.8,395.6,999.0,199.8,unl,8,6,12,4,8,2,0.25,1.0
17,390,553.6666666666666,760.0,120.0,0.0,0.0,0.0,64.0,24.0,356.0,900.0,180.0,unl,8,6,12,4,8,2,0.25,1.0
18,390,350.9166666666667,594.0,100.0,0.0,0.0,0.0,32.0,20.0,278.4,698.0,139.6,unl,8,6,12,4,8,2,0.25,1.0
19,390,340.0,803.0,131.0,0.0,0.0,0.0,64.0,26.2,377.8,955.0,191.0,unl,8,6,12,4,8,2,0.25,1.0
20,390,429.6666666666667,703.0,115.0,0.0,0.0,0.0,64.0,23.0,331.2,838.0,167.6,unl,8,6,12,4,8,2,0.25,1.0
21,390,292.6666666666667,689.0,103.0,0.0,0.0,0.0,32.0,20.6,318.8,802.0,160.4,unl,8,6,12,4,8,2,0.25,1.0
22,390,272.0,805.0,126.0,0.0,0.0,0.0,64.0,25.2,376.6,952.0,190.4,unl,8,6,12,4,8,2,0.25,1.0
23,390,537.1666666666666,680.0,104.0,0.0,0.0,0.0,64.0,20.8,318.8,810.0,162.0,unl,8,6,12,4,8,2,0.25,1.0
24,390,271.1666666666667,518.0,88.0,0.0,0.0,0.0,32.0,17.6,243.2,610.0,122.0,unl,8,6,12,4,8,2,0.25,1.0
25,390,566.5833333333334,763.0,124.0,0.0,0.0,0.0,64.0,24.8,359.2,909.0,181.8,unl,8,6,12,4,8,2,0.25,1.0
26,390,277.6666666666667,664.0,102.0,0.0,0.0,0.0,64.0,20.4,311.6,792.0,158.4,unl,8,6,12,4,8,2,0.25,1.0
27,390,512.7222222222222,667.0,114.0,0.0,0.0,0.0,32.0,22.8,312.0,779.0,155.8,unl,8,6,12,4,8,2,0.25,1.0
28,390,256.0833333333333,916.0,144.0,0.0,0.0,0.0,64.0,28.8,428.0,1080.0,216.0,unl,8,6,12,4,8,2,0.25,1.0
29,390,377.1666666666667,630.0,98.0,0.0,0.0,0.0,64.0,19.6,296.4,754.0,150.8,unl,8,6,12,4,8,2,0.25,1.0
30,390,390.0833333333333,775.0,124.0,0.0,0.0,0.0,32.0,24.8,360.6,904.0,180.8,unl,8,6,12,4,8,2,0.25,1.0
31,390,317.3333333333333,741.0,119.0,0.0,0.0,0.0,64.0,23.8,348.2,881.0,176.2,unl,8,6,12,4,8,2,0.25,1.0
32,390,476.5,545.0,86.0,0.0,0.0,0.0,64.0,17.2,257.6,657.0,131.4,unl,8,6,12,4,8,2,0.25,1.0
33,390,516.5,819.0,129.0,0.0,0.0,0.0,32.0,25.8,380.2,953.0,190.6,unl,8,6,12,4,8,2,0.25,1.0
