,experiment,start,end,topology,parameter,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,startUnix,endUnix
0,383,2023-10-03 14:38:41.3311106,2023-10-03 15:08:41.3340502,unl,reference,8,6,12,4,8,2,0.25,1.0,1696343921,1696345721
1,384,2023-10-04 12:58:35.4458617,2023-10-04 13:13:35.4494771,unl,reference,8,6,12,4,8,2,0.25,1.0,1696424315,1696425215
2,385,2023-10-04 13:25:01.0752251,2023-10-04 13:40:01.0774462,unl,reference,8,6,12,4,8,2,0.25,1.0,1696425901,1696426801
3,386,2023-10-04 14:18:48.4409855,2023-10-04 14:33:48.4430498,unl,reference,8,6,12,4,8,2,0.25,1.0,1696429128,1696430028
4,387,2023-10-04 15:38:33.0103914,2023-10-04 15:53:33.0161317,unl,reference,8,6,12,4,8,2,0.25,1.0,1696433913,1696434813
5,388,2023-10-04 16:20:43.6412122,2023-10-04 16:35:43.6457500,unl,reference,8,6,12,4,8,2,0.25,1.0,1696436443,1696437343
6,389,2023-10-04 17:00:47.8475357,2023-10-04 17:15:47.8502305,unl,reference,8,6,12,4,8,2,0.25,1.0,1696438847,1696439747
7,390,2023-10-04 18:52:03.0807730,2023-10-04 19:22:03.0866518,unl,reference,8,6,12,4,8,2,0.25,1.0,1696445523,1696447323
8,391,2023-10-04 19:25:37.1533399,2023-10-04 19:55:37.1555856,unl,reference,8,6,12,4,8,2,0.25,1.0,1696447537,1696449337
9,392,2023-10-04 19:59:12.6589825,2023-10-04 20:29:12.6608307,unl,reference,8,6,12,4,8,2,0.25,1.0,1696449552,1696451352
10,393,2023-10-04 20:32:47.3098616,2023-10-04 21:02:47.3149178,unl,informed,8,6,12,4,8,2,0.25,3.0,1696451567,1696453367
11,394,2023-10-04 21:06:22.7755634,2023-10-04 21:36:22.7788800,unl,informed,8,6,12,4,8,2,0.25,3.0,1696453582,1696455382
12,395,2023-10-04 21:39:58.6528165,2023-10-04 22:09:58.6545536,unl,informed,8,6,12,4,8,2,0.25,3.0,1696455598,1696457398
13,396,2023-10-04 22:13:33.8146704,2023-10-04 22:43:33.8174094,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696457613,1696459413
14,397,2023-10-04 22:47:09.3837110,2023-10-04 23:17:09.3868442,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696459629,1696461429
15,398,2023-10-04 23:20:44.6001719,2023-10-04 23:50:44.6033804,unl,informed0,16,8,20,16,8,4,0.5,1.0,1696461644,1696463444
16,399,2023-10-04 23:54:20.0569526,2023-10-05 00:24:20.0600345,unl,informed1,16,8,20,16,8,4,0.5,3.0,1696463660,1696465460
17,400,2023-10-05 00:27:54.9094931,2023-10-05 00:57:54.9139767,unl,informed1,16,8,20,16,8,4,0.5,3.0,1696465674,1696467474
18,401,2023-10-05 01:01:29.7404689,2023-10-05 01:31:29.7447830,unl,informed1,16,8,20,16,8,4,0.5,3.0,1696467689,1696469489
